symbol,listing_utc,open,high,low,close,volume,notional_usdt
BNBHOLDER_USDT,2025-10-09T08:30:00+00:00,0.0813,0.114,0.0246,0.0351,16817314.0,10541013.674
PUP_USDT,2025-10-09T14:20:00+00:00,0.02199,0.02287,0.01111,0.01311,1155856.0,1699037.122
MEMERUSH_USDT,2025-10-10T09:00:00+00:00,0.01404,0.01517,0.00341,0.00622,5702964.0,4997232.562
RAIL_USDT,2025-10-10T11:41:00+00:00,4.36,4.611,1.448,3.809,6485920.0,2333410.5788
CHILLHOUSE_USDT,2025-10-28T09:00:00+00:00,0.02559,0.03356,0.01663,0.01961,562949.0,1486851.578
FUNSOL_USDT,2025-10-28T09:55:00+00:00,0.01993,0.02028,0.00468,0.00549,672405.0,949830.733
EAT_USDT,2025-10-29T11:37:00+00:00,0.04299,0.06374,0.03303,0.0428,2904304.0,1444530.1093
XNL_USDT,2025-10-29T12:10:00+00:00,0.0275,0.0324,0.0109,0.01174,5201359.0,887236.5723
INTCSTOCK_USDT,2025-10-29T13:00:00+00:00,41.65,42.49,40.1,40.73,302274.0,124917.3525
MUSTOCK_USDT,2025-10-29T13:00:00+00:00,228.62,234.7,221.59,221.6,48653.0,111399.2999
QCOMSTOCK_USDT,2025-10-29T13:00:00+00:00,182.77,185.63,176.02,178.52,62530.0,112647.35
VSTOCK_USDT,2025-10-29T13:03:00+00:00,346.06,354.7,336.74,343.45,33448.0,114430.1696
QQQSTOCK_USDT,2025-10-29T13:04:00+00:00,636.48,644.56,620.74,636.22,22734.0,144509.1699
TEAFI_USDT,2025-11-03T12:50:00+00:00,0.6814,0.6814,0.1386,0.1862,1059887.0,298316.179
BDX_USDT,2025-11-04T10:42:00+00:00,0.0804,0.0825,0.0789,0.0814,187858.0,151821.419
1_USDT,2025-11-05T09:45:00+00:00,0.02697,0.04671,0.02497,0.02908,2876120.0,939201.8805
ORE_USDT,2025-11-06T12:16:00+00:00,204.5,306.0,160.6,277.7,506771.0,1202505.556
ELIZAOS_USDT,2025-11-07T02:30:00+00:00,0.00904,0.01384,0.00792,0.00954,2352742.0,2632413.141
